checkpoint,perturbation_type,subtype,layer_idx,head_idx,seed,baseline_loss,perturbed_loss,delta,elapsed_sec
512,head,output_zeroing,20,0,-1,6.826264839172364,6.827063026428223,-0.00011692884390874498,3.095745086669922
512,head,output_zeroing,20,3,-1,6.826264839172364,6.826671981811524,-5.9643545738762806e-05,3.096388816833496
512,head,output_zeroing,20,6,-1,6.826264839172364,6.82492317199707,0.00019654484654544732,3.0923924446105957
512,head,output_zeroing,20,9,-1,6.826264839172364,6.826752834320068,-7.148787209427016e-05,3.093214273452759
512,head,output_zeroing,20,12,-1,6.826264839172364,6.827631645202636,-0.00020022751277233518,3.0937294960021973
512,head,output_zeroing,20,15,-1,6.826264839172364,6.827340354919434,-0.00015755552595883432,3.0941033363342285
512,head,output_zeroing,21,0,-1,6.826264839172364,6.826878070831299,-8.983414405724559e-05,3.092637300491333
512,head,output_zeroing,21,3,-1,6.826264839172364,6.826184043884277,1.1835943959123162e-05,3.0946850776672363
512,head,output_zeroing,21,6,-1,6.826264839172364,6.829176921844482,-0.00042659972045142004,3.093853235244751
512,head,output_zeroing,21,9,-1,6.826264839172364,6.826442794799805,-2.60692533374704e-05,3.095428228378296
512,head,output_zeroing,21,12,-1,6.826264839172364,6.826728553771972,-6.793094181574737e-05,3.0979881286621094
512,head,output_zeroing,21,15,-1,6.826264839172364,6.826526889801025,-3.8388582165417665e-05,3.092118501663208
512,head,output_zeroing,22,0,-1,6.826264839172364,6.826600875854492,-4.922702093244303e-05,3.0944933891296387
512,head,output_zeroing,22,3,-1,6.826264839172364,6.828275547027588,-0.00029455462139208285,3.095405340194702
512,head,output_zeroing,22,6,-1,6.826264839172364,6.825037689208984,0.00017976887687357358,3.0920445919036865
512,head,output_zeroing,22,9,-1,6.826264839172364,6.826716003417968,-6.609240283436645e-05,3.0930275917053223
512,head,output_zeroing,22,12,-1,6.826264839172364,6.826819877624512,-8.130924674404106e-05,3.092611074447632
512,head,output_zeroing,22,15,-1,6.826264839172364,6.82671968460083,-6.663167034718306e-05,3.09550404548645
512,head,output_zeroing,23,0,-1,6.826264839172364,6.828090438842773,-0.0002674375684830385,3.093254566192627
512,head,output_zeroing,23,3,-1,6.826264839172364,6.826828441619873,-8.256381209751548e-05,3.0944929122924805
512,head,output_zeroing,23,6,-1,6.826264839172364,6.829553565979004,-0.000481775448817614,3.091428279876709
512,head,output_zeroing,23,9,-1,6.826264839172364,6.826866912841797,-8.81995767257672e-05,3.093782424926758
512,head,output_zeroing,23,12,-1,6.826264839172364,6.831427688598633,-0.0007563212895934419,3.092827320098877
512,head,output_zeroing,23,15,-1,6.826264839172364,6.826313495635986,-7.127831217946094e-06,3.0929927825927734
512,layer,full_zeroing,0,-1,-1,6.826264839172364,8.738599739074708,-0.2801436722654612,3.0819966793060303
512,layer,full_zeroing,1,-1,-1,6.826264839172364,7.101933689117431,-0.04038355622582182,3.0867481231689453
512,layer,full_zeroing,2,-1,-1,6.826264839172364,7.007273178100586,-0.02651645419461467,3.0836479663848877
512,layer,full_zeroing,3,-1,-1,6.826264839172364,6.947369556427002,-0.01774099307716308,3.08492374420166
512,layer,full_zeroing,4,-1,-1,6.826264839172364,6.9214730644226075,-0.013947338331190074,3.084876775741577
