model,checkpoint,layer_idx,head_idx,class,OV_PR,QK_PR,OV_entropy,QK_entropy,abs_delta_this_ckpt
410M,4000,1,12,growing,43.88065751348248,27.879713732359754,3.961467981338501,3.8099141120910645,9.670079510563638e-05
410M,4000,1,15,emergent,38.01412442341479,34.95012600629694,3.886638879776001,3.879324436187744,0.0003755613400108
410M,4000,2,0,emergent,40.034664090386514,31.339145567619333,3.921050786972046,3.8146092891693115,0.0004087196617418
410M,4000,2,3,growing,33.20388239238279,33.757024109941675,3.858304262161255,3.8509039878845215,0.0001385499035538
410M,4000,2,6,never,18.370450380445785,24.170141640543427,3.5767621994018555,3.7270026206970215,0.0001276575225522
410M,4000,2,9,growing,10.644773424657204,15.489244102746268,3.381117820739746,3.549168825149536,0.0023620095944027
410M,4000,2,12,never,18.941216620009282,19.979803476592693,3.5530195236206055,3.661930799484253,0.0004638213462851
410M,4000,2,15,never,30.70852427446557,32.52139151276018,3.7911486625671387,3.826484203338623,0.0001933585798222
410M,4000,3,0,growing,25.82981267057088,28.280719898327554,3.6653242111206055,3.8289899826049805,0.0089790342794574
410M,4000,3,3,growing,36.000056731143566,28.42261337030619,3.8364310264587402,3.7479732036590576,0.0018162453927204
410M,4000,3,6,growing,42.70479103602209,36.175973468317714,3.9439122676849365,3.890305995941162,0.0013137200726791
410M,4000,3,9,born,34.041755325754,31.653674528206487,3.7974627017974854,3.8523318767547607,0.00443920439318
410M,4000,3,12,emergent,28.810693128742933,32.92371667130715,3.742064952850342,3.895986795425415,0.0009695643810496
410M,4000,3,15,never,34.19173556341666,28.6273517539852,3.828023910522461,3.7809629440307617,0.0002796831185938
410M,4000,4,0,born,38.73971393162328,30.670149138473338,3.878054141998291,3.8364486694335938,0.0018760486504057
410M,4000,4,3,emergent,33.090568711355495,27.316286549402378,3.8728127479553223,3.765918731689453,0.0003022797016883
410M,4000,4,6,growing,23.828313758226354,27.894406858178247,3.677905559539795,3.7759242057800293,0.0002874814397402
410M,4000,4,9,growing,31.88432914072936,27.792435275425074,3.790128231048584,3.8236846923828125,0.0069872177908946
