layer_idx,head_idx,class,abs_delta,random_control,OV_PR,QK_PR,OV_entropy,QK_entropy,emergent_dummy,log_abs_delta
7,0,emergent,0.0008329541064016,-0.15207222830243025,38.61902604275642,14.141991272007507,3.911442518234253,3.1800241470336914,1,-7.090532011671003
7,1,growing,0.0008013482003953,-1.1855260085651762,43.2747227095626,32.07898579421694,3.980475425720215,3.7842133045196533,1,-7.12921499824344
7,2,growing,0.0005767050207695,-0.276787745085543,10.497813941197519,2.6612436895181792,3.0616915225982666,1.6687943935394287,1,-7.458179651347338
7,3,emergent,0.0033852564591632,-0.016784962977418435,44.40584695163376,45.42430451031202,3.9394466876983643,3.9442577362060547,1,-5.6883256120717895
7,4,emergent,0.0045928322596098,-0.05458429075975533,51.74890851980822,42.16131516938626,4.046654224395752,3.9025588035583496,1,-5.38325839518285
7,5,emergent,0.0018048109110266,-0.1455225918115129,49.23908290741847,19.336940844916928,4.028423309326172,3.5913572311401367,1,-6.317299451118857
7,6,growing,0.0011605283866804,-0.05886633588256899,44.74876225921485,34.702553739405836,3.9529008865356445,3.8186826705932617,1,-6.758879871816154
7,7,emergent,0.0068946969992762,-1.922201447699087,47.055985631505344,30.12528437074808,3.9956493377685547,3.7584424018859863,1,-4.977002713695056
7,8,growing,0.0115742335942704,-1.0803737640343434,56.323647125419356,38.61597890615649,4.089173793792725,3.867835521697998,1,-4.458973893360025
7,9,growing,0.0090232437838427,0.3845366267675747,29.974308629016647,41.83962586471864,3.7897284030914307,3.9049999713897705,1,-4.707951388287243
7,10,growing,0.0010072302457537,0.5572345604413498,46.34165958671347,41.02019046874447,4.004003524780273,3.900007724761963,1,-6.90055104614401
7,11,emergent,0.0054003916484581,-0.23537726563327374,29.93440671617225,46.481659621278574,3.821441411972046,3.9303464889526367,1,-5.221283800549659
8,0,growing,0.0009007045367219,-0.8470606899695202,17.496732017274194,2.255904361873432,3.558687925338745,1.4808791875839233,1,-7.012333282302728
8,1,emergent,0.0016790279664131,-0.44409514484450274,44.020237876161225,5.049025016012145,3.9537034034729004,2.2276763916015625,1,-6.389540244436352
8,2,growing,0.0039557559612094,1.8637230231810213,47.118522885149716,18.414482941714116,4.01682710647583,3.6022133827209473,1,-5.532583555393075
8,3,growing,0.0007746721240192,0.7491378825160465,32.67289706565699,3.647149828348292,3.810961961746216,1.9375568628311157,1,-7.163070683910181
8,4,born,0.0005660147461665,0.9572619605611445,28.925533330039674,4.507029958017636,3.780444622039795,2.0125668048858643,0,-7.476890426802769
