layer_idx,head_idx,OV_PR,QK_PR,OV_entropy,QK_entropy,OV_PR_143k,QK_PR_143k,OV_en_143k,QK_en_143k,class,abs_delta_this_ckpt
7,12,32.128236294686296,37.62147558916323,3.815460205078125,3.843113660812378,41.56646047993891,38.80268796422101,3.96010947227478,3.8123717308044434,emergent,0.0006145563534837
7,15,35.50903195754863,29.559374058989274,3.8661727905273438,3.691607713699341,23.535982871836495,40.202507567460664,3.721233367919922,3.910911798477173,never,0.0003352838031769
8,0,33.64429789031211,27.245467475594037,3.833829641342163,3.638134479522705,49.151243442033305,47.200812538139736,4.027347564697266,3.962717056274414,emergent,3.974159234766375e-05
8,3,47.80114218272774,45.25584645980473,4.014992713928223,3.9237051010131836,45.13533918046283,44.74331728957298,3.98503041267395,3.919922828674317,emergent,0.0015220638012125
8,6,39.18319243576003,36.19261486766098,3.915699005126953,3.7550766468048096,29.94654179497097,33.28709790941673,3.8453094959259033,3.676011085510254,emergent,0.0025763961259666
8,9,18.809161175705032,42.45163403399367,3.5630970001220703,3.86004638671875,43.23087801566864,39.58138003225627,3.988130569458008,3.8164682388305664,emergent,0.0810443734456224
8,12,42.88899238380267,42.64155260762483,3.9289052486419678,3.919799327850342,54.93387981894413,49.91654261462586,4.0786895751953125,4.007960796356201,emergent,0.0018083958532098
8,15,18.79504870618511,9.263865552739624,3.5961570739746094,2.8836028575897217,33.70959567180086,12.447866187976016,3.872069358825683,3.219115972518921,emergent,5.455621788291324e-06
9,0,45.05337749432096,41.78614866824783,3.9697060585021973,3.889295816421509,53.03108324427457,47.01721858075663,4.0687761306762695,3.9529366493225098,emergent,0.0007380338423884
9,3,30.82698145489542,39.435290333107176,3.8815693855285645,3.888594627380371,46.00655520924594,46.21246161424274,4.023526191711426,3.962372541427612,emergent,0.0004666956373549
9,6,43.347106880932834,43.181395122758595,3.9560344219207764,3.894268035888672,49.96378703746422,43.628937679913015,4.040780067443848,3.896071672439575,growing,0.0004810151257234
9,9,40.93611959668952,46.52640218964389,3.958660840988159,3.978912353515625,50.48799275511159,52.52005389472744,4.049543380737305,4.041286945343018,growing,0.0007485319653842
9,12,23.422413105783725,31.071435648073688,3.6961231231689453,3.752690076828003,36.20272068590421,44.37603000674963,3.903567552566528,3.9436941146850586,growing,0.0001393066899841
9,15,39.845180390481104,37.68525204102515,3.9095687866210938,3.865786075592041,49.25339960076235,46.4665128255673,4.028777122497559,3.9743728637695312,emergent,0.0031159285669072
10,0,53.93492340797901,47.353336270503235,4.073182106018066,3.945732593536377,55.38754274245704,47.029175633791105,4.0868353843688965,3.9395785331726074,never,0.000149069701358
10,3,55.1328708153613,36.079928143824525,4.076826095581055,3.7742271423339844,57.96688600093415,37.47493437049126,4.10628604888916,3.7957587242126465,growing,0.0003966443600385
10,6,40.627778684498736,39.45870530867583,3.911317825317383,3.8746323585510254,48.51868496906037,47.15155698033501,4.018163681030273,3.969365119934082,emergent,0.0005226674007576
10,9,57.96581816946078,45.92419552319156,4.107720375061035,3.9189722537994385,52.74243522266996,48.7107056364584,4.065987586975098,3.958233833312988,never,0.0005788457244507
10,12,17.019056792056197,32.94663887834957,3.4364330768585205,3.7790589332580566,31.56180607581315,42.77305813722485,3.797639846801758,3.929598808288574,emergent,0.0008552993343236
10,15,37.133787160049664,42.70703078600087,3.8833630084991455,3.9186878204345703,34.709095516120385,49.1355045145807,3.913552761077881,3.981230974197388,emergent,0.0011115556005046
11,0,40.00502126381313,36.266236675376106,3.89556884765625,3.834197521209717,49.393597801163715,45.39987690110716,4.030844211578369,3.946108341217041,emergent,0.00126066479133
11,3,35.74064529778061,41.82571288115119,3.8612306118011475,3.9119160175323486,43.96001810837747,48.962668847493504,3.979326725006103,3.998398780822754,emergent,0.0013737261738248
11,6,57.587003502893914,47.55676142096696,4.1054277420043945,3.962892532348633,49.85219555605706,44.49058240957694,4.044486999511719,3.901402473449707,never,0.0003139139260718
11,9,57.708700018992076,46.9062590548239,4.10697078704834,3.9737279415130615,58.688243661689704,51.48749498121618,4.115744113922119,4.027595520019531,emergent,0.0013486230232354
11,12,47.71057479438947,38.97034622547675,4.0059919357299805,3.865062713623047,51.70500667165577,42.10333154994195,4.053108215332031,3.911114454269409,emergent,0.0010995325765414
